train_tl_1,train_tl_2,train_tl_3,train_tl_4,train_tl_5
wikang,tungkol,ang,para,nengneng
tagalog,ito,artikulo,sa,met
mga,sa,seksiyong,diyosang,so
bansang,isang,ito,griyego,pangasinan
may,sinaunang,ay,silipin,panpalinewan
mahigit,malaagham,kailangang,ang,say
sa,na,isa,seres,et
libong,pa,pakiragdag,discoverer,unaan
mananalita,ang,mga,discovery,ya
rehiyon,alkimiho,pamanahong,date,klase
katutubong,ni,pagkukulang,alternate,luyag
pangkalahatan,sir,upan,a899,na
buong,william,maari,of,rehi
mundo,fettes,po,xb,salitan
milyon,douglas,kayong,main,kumasakey
kabu,ay,makatulong,belt,salita
batangas,may,sa,gm,nen
lubang,elemento,pagpapaunlad,au,saman
marinduque,ng,ng,km,wala
tayabas,mga,may,ascending,daan
latin,nilalaman,sapat,node,panarian
katitikang,pananaw,na,argument,atawag
filipino,alkimiyang,bigat,dimensions,nakakabat
opisyal,tsino,sarili,mass,inianakan
na,alkimiya,niyang,density,template
katayuan,mula,grabed,surface,infobox
pilipinas,matandang,hinawi,gravity,philippine
anyong,ehipto,nito,escape,province
pinangangasiwaan,imperyong,paligid,velocity,history
regulado,romano,niya,rotation,prehistory
ng,europa,para,period,pansakop
kodigong,noong,kanya,spectral,espanya
pangwika,panahong,ilalim,class,katipunan
tl,medyebal,pagtatakdang,absolute,baley
tgl,makabagong,ating,magnitude,nuestra
bahagi,pinagbatayan,kalaw,albedo,senora
kung,ugat,etimolohiya,geometric,de
saan,salita,pagtatakda,mean,manaoag
pangunahing,baguhin,planetang,~167,edit
sina,batayan,dwende,ceres,source
higit,upang,dwarf,siriz,awstronesyo
kaugnay,maunawaan,planet,latin,utit
iba,natin,kategorya,cerēs,ari
pang,alkimiko,planeta,kaunau,caboloan
wika,tingna,labas,mga,si
ang,hindi,kalawakang,nilalaman,ferdinand
nilalaman,dapat,araw,pagkatuklas,magellan
paggamit,ipagwalang,inter,obserbasyon,abril
katangiang,bahala,estrelyar,ipinangalan,conquistador
sangkap,ginawa,sanggunian,aspeto,managsak
kakalatan,transmutasyon,baguhin,batayan,asakop
at,bagay,batayan,pangalan,la
kalapatang,pinaka,ilang,baguhin,insan
heograpiko,lumalakas,romano,anyong,gi
wikain,larangan,naniniwala,pang,deciembre
diyalekto,pag,pitong,uri,andres
maynila,aaral,diyo,ng,malong
bulacan,kasaysayan,pag,panglan,ginawa
tanay,masasabing,unlad,ay,mauro
paete,dalawang,astronomiya,maaring,ortiz
cavite,malinaw,lalo,cere,vice
katinig,hibla,pagtan,kanan,presidente
tunog,at,pito,pakaliwa,general
talasanggunian,si,buwan,vesta,divis
talababa,sinasabing,mercury,at,domingo
talaugnayang,kanluran,venus,buwan,garcía
panlabas,ipa,ma,inobserbahan,cajero
kasaysayan,ban,muli,ni,tagi
baguhin,kung,kasama,piazzi,yaman
batayan,saan,uranus,na,marcelo
doctrina,kanluraning,labing,bese,coronel
cristiana,nakatuon,dalawa,pinaniniwalaan,talisay
doktrinang,malamit,astraea,johann,gil
kristiyano,naugnay,walo,elert,fontanilla
kahabaan,kakaunti,neptune,bode,comandante
taong,kaalaman,di,cer,pedro
pananakop,karakter,pwera,larawan,natividad
kast,karamihan,pluto,kuha,graciano
noong,diyos,loob,hubble,rapinan
muling,tot,ika,space,capitán
binalikan,tinatawag,siglo,teles,julio
an,hermes,nang,ilang,rabara
paksang,or,matuklasan,punto,vicente
pangwi,matapos,malinaw,orbit,vera
ginagamit,rito,itinatakda,nito,francisco
bilang,sinakop,lathala,makakarating,raroque
lingua,mecedoniang,krite,may,teniente
franca,griye,resolusyong,bigat,kultura
isang,griyegong,nagdagdag,kg,totoo
gitnang,lungsod,malayang,kak,saray
matatagpuan,alejandria,lumulutang,palatandaan,malay
nagsasalita,ngunit,katawan,mayroong,malayan
lathalain,usad,kulu,pag,singa
itinalaga,kristiyanismo,komunidad,aalinlangan,sar
saligang,impery,siyentipiko,tungkol,ibaloi
batas,tulad,apat,surfac,wak
pilipin,karunungang,higanteng,modelo,keley
panrehiyon,griyego,gas,batay,kayapa
ay,ehipsiyo,harap,larawang,sakey
katulong,kara,mercurio,napagmasdan,aggl
nakaimpluwensiya,bumagsak,walang,isang,aguilar
rin,natuon,likas,occultation,anda
malawakang,pilosopong,bun,bituin,balungao
gumagam,islamiko,mundo,keck,basista
siyang,nagbigay,earth,telescope,bayambang
ginaga,mar,lupa,gamit,binmaley
saklaw,naghahanap,tierra,paglalakbay,bugallon
kalakhang,bato,isang,bat,calasiao
ka,pilosopo,júpiter,elementong,infanta
bataan,dahil,jupiter,kimikal,laoac
timugang,malaking,buntalâ,cerium,mabini
zambales,kauganayan,urano,bilang,mangatarem
mayroong,nito,pluton,atomi,rosales
pagkamasali,kulturang,tabi,pc,san
lalawigan,robert,katihing,role,jacinto
tarlac,grosseteste,talâ,playing,nicolas
pagbigkas,una,mart,game,santa
nah,isa,diyosa,countdown,barbara
pulo,tunay,ibig,to,santo
nagpapaki,panah,at,doomsd,tomas
binibigkas,nang,kariktan,larong,sual
quez,siglo,marte,super,umingan
quezon,trese,diyos,nintendo,villasis
camarines,lapida,digmaan,metroid,commercial
norte,nicolas,kataastaasang,kuwentong,salt
aurora,flamel,maylalang,known,industry
napagawi,simbahan,kalangitan,larry,in
ako,katanghalian,impyerno,niven,dasol
ilat,paghihingalo,kulturang,opposition,urdaneta
iyan,baguh,europeo,earth,city
mangilanngila,boyle,gumagamit,maximum,carlos
saksa,nabantog,sila,brightness,kapulo
gulay,ka,astronomo,mag,puloan
baraka,kaya,magkakaiba,conjunction,odino
kitang,habang,unano,araw,taytay
mamaraka,agham,talang,mayo,bakes
nagdala,unti,balot,disyembre,hundred
nga,unting,giants,agosto,isla
bug,nasumusu,noong,marso,arom
ong,pamamagitan,masumpunga,nobyembre,bantog
wala,artipisyal,ceres,hunyo,dadalawen
namang,layunin,pallas,pebrero,bonuan
kutsara,pananaliksik,juno,oktubre,blue
astang,maraming,ve,enero,beach
taga,manunulat,ganito,setyembre,ed
ah,nanunuya,rin,abril,dagupan
kaya,alkimik,nangyari,hulyo,patar
lang,nagngangalang,plutón,asteroids,whitesand
mai,melquíades,unang,games,bolinao
iyong,doctor,nadis,for,tambobong
ikinikilos,illuminatus,baguhi,sony,white
talastas,the,hindi,psp,antong
ko,alchemist,rito,playstat,falls
nagwagi,son,nad,bahagi,sison
sabong,paraan,maraming,artikulong,mount
nag,mahalaga,proyekto,ito,sanctuario
agaw,pinakama,iminumungkahi,mula,senor
pa,laboratoryong,upang,http,divino
man,isto,estrelyang,iau,tesoro
ponolohiya,alchemy,lagalag,comm4,urduja
ponema,tala,katiyakan,jpl,house
liman,pinagkunan,kung,nasa,lingayen
bago,lahat,papaano,gov,museum
dumating,wikang,nabubuo,epm2004,sto
espanyol,ingles,maiigting,pdf,rosario
tatlo,augustine,salpukan,www,cave
patinig,confessions,maliliit,psi,blessed
gitna,trans,merkuryo,edu,virgin
bukas,rex,benus,pds,well
hindi,calian,daigdig,archive,balikasan
harap,george,silipin,astdata04,english
sarado,florin,din,sim,filipinas
likod,alkimia,astronomikal,astronomy,bagoong
pabilog,operativ,bagay,com,kingfisher
apat,edwardes,,asy,school
diptonggo,michael,,default,of
nasa,dark,,aspx,business
baba,side,,scienceastronomy,and
talaan,of,,050907_cer,finance
ponemang,his,,swri,cia
pangngipin,hitchcock,,org,world
lagpas,ethan,,press,factbook
gilagid,allen,,htm,philippines
panlalamunan,remarks,,web,origins
pailong,upon,,ht,the
pasara,al,,movie,filipinos
dʒ,lindsay,,credit,their
pasutsot,jack,,parker,languages
pakatal,origins,,southwe,united
pagilid,norton,,osservatorio,states
malapatinig,thomas,,astronomico,its
diin,ed,,di,territories
is,john,,palermo,siyudad
raised,reidy,,giuseppe,region
slightly,ordina,,largest,luzon
to,weaver,,asteroid,ilocos
in,jefferson,,might,baybay
unstressed,hane,,contain,abalaten
po,world,,more,uni
the,ph,,fresh,batanes
final,zumdahl,,wate,cagayan
syallable,steven,,james,isabela
can,chemistry,,hilton,balon
be,2nd,,naval,vizcaya
pronounced,,,observatory,abra
usually,,,epheme,apayao
as,,,sistemang,benguet
diphthong,,,planeta,ifugao
aʊ,,,planetang,kalinga
and,,,unano,aurora
sequence,,,terestr,bataan
have,,,maliliit,bulakan
intervocalic,,,katawan,ecija
tend,,,solar,pamp
become,,,mete,batangas
glottal,,,,cavite
stop,,,,laguna
that,,,,quezon
occurs,,,,rizal
end,,,,mindoro
of,,,,bokig
wor,,,,oriental
niy,,,,albay
siy,,,,camarines
tiy,,,,agnaluyag
diy,,,,
pronounc,,,,
or,,,,
before,,,,
consonant,,,,
clusters,,,,
nananatiling,,,,
isa,,,,
panitikang,,,,
pampananampala,,,,
naglilimbag,,,,
saksi,,,,
ni,,,,
jehova,,,,
pani,,,,
philippine,,,,
census,,,,
table,,,,
household,,,,
pilipino,,,,
mananagalog,,,,
blust,,,,
robert,,,,
greater,,,,
central,,,,
phi,,,,
results,,,,
from,,,,
population,,,,
languages,,,,
united,,,,
states,,,,
uni,,,,
constitution,,,,
biak,,,,
bato,,,,
article,,,,
manuel,,,,
iii,,,,
spe,,,,
regional,,,,
are,,,,
auxiliary,,,,
understanding,,,,
languag,,,,
yearbook,,,,
jehovah,,,,
witnesses,,,,
watch,,,,
tower,,,,
official,,,,
website,,,,
wi,,,,
bibliyograpiya,,,,
malalimang,,,,
tratadong,,,,
komisyon,,,,
lupon,,,,
syntax,,,,
der,,,,
filipinischen,,,,
sprache,,,,
palaugnayan,,,,
talatinigang,,,,
learn,,,,
chrome,,,,
application,,,,
app,,,,
maikling,,,,
pagtingin,,,,
pambansan,,,,
nagtuturo,,,,
translation,,,,
pambansà,,,,
panrehiyón,,,,
bikol,,,,
hiligaynon,,,,
iloko,,,,
kapampangan,,,,
kin,,,,
pamilya,,,,
borneo,,,,
hilagang,,,,
hil,,,,