사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Jun.24,1호선,150,서울역,1375235 ,1312172 ,217760 ,208410 
Jun.24,1호선,151,시청,623388 ,630661 ,97573 ,95530 
Jun.24,1호선,152,종각,914353 ,912364 ,146932 ,137905 
Jun.24,1호선,153,종로3가,471522 ,426339 ,287153 ,264801 
Jun.24,1호선,154,종로5가,440595 ,432871 ,248630 ,242504 
Jun.24,1호선,155,동대문,231365 ,226540 ,129109 ,130444 
Jun.24,1호선,156,신설동,287903 ,276799 ,122597 ,118990 
Jun.24,1호선,157,제기동,230693 ,220271 ,262223 ,280041 
Jun.24,1호선,158,청량리(서울시립대입구),397655 ,379680 ,287057 ,290189 
Jun.24,1호선,159,동묘앞,156165 ,161457 ,163273 ,162912 
Jun.24,2호선,201,시청,648953 ,611509 ,59285 ,54336 
Jun.24,2호선,202,을지로입구,1274944 ,1312288 ,100866 ,94732 
Jun.24,2호선,203,을지로3가,614189 ,609556 ,74197 ,72976 
Jun.24,2호선,204,을지로4가,318509 ,320723 ,73177 ,72581 
Jun.24,2호선,205,동대문역사문화공원(DDP),383045 ,444676 ,59596 ,64891 
Jun.24,2호선,206,신당,334736 ,355312 ,91682 ,93652 
Jun.24,2호선,207,상왕십리,341236 ,329018 ,70762 ,71608 
Jun.24,2호선,208,왕십리(성동구청),404320 ,367863 ,53859 ,48793 
Jun.24,2호선,209,한양대,301414 ,331915 ,13316 ,14311 
Jun.24,2호선,210,뚝섬,646298 ,662850 ,67355 ,67248 
Jun.24,2호선,211,성수,1107129 ,1240300 ,99606 ,100219 
Jun.24,2호선,212,건대입구,994281 ,1046691 ,95916 ,99397 
Jun.24,2호선,213,구의(광진구청),597742 ,572472 ,108898 ,108391 
Jun.24,2호선,214,강변(동서울터미널),772418 ,737922 ,125080 ,121398 
Jun.24,2호선,215,잠실나루,328734 ,316326 ,88827 ,88584 
Jun.24,2호선,216,잠실(송파구청),2083604 ,2053741 ,228907 ,218545 
Jun.24,2호선,217,잠실새내,579320 ,569084 ,115982 ,114755 
Jun.24,2호선,218,종합운동장,467396 ,531351 ,58170 ,60845 
Jun.24,2호선,219,삼성(무역센터),1403975 ,1424615 ,122316 ,113198 
Jun.24,2호선,220,선릉,1278214 ,1125457 ,230471 ,202302 
Jun.24,2호선,221,역삼,1147994 ,1321629 ,140463 ,144383 
Jun.24,2호선,222,강남,2059283 ,2029235 ,156313 ,136845 
Jun.24,2호선,223,교대(법원.검찰청),691031 ,832770 ,150539 ,179639 
Jun.24,2호선,224,서초,522463 ,501367 ,95450 ,94840 
Jun.24,2호선,225,방배,397342 ,413908 ,77541 ,76676 
Jun.24,2호선,226,사당,973327 ,1072626 ,226486 ,211945 
Jun.24,2호선,227,낙성대(강감찬),684733 ,655229 ,115718 ,116934 
Jun.24,2호선,228,서울대입구(관악구청),1141004 ,1110373 ,182257 ,173309 
Jun.24,2호선,229,봉천,537338 ,491852 ,157816 ,156007 
Jun.24,2호선,230,신림,1382311 ,1323776 ,205402 ,202873 
Jun.24,2호선,231,신대방,600752 ,573770 ,135178 ,135744 
Jun.24,2호선,232,구로디지털단지,1375181 ,1352090 ,201300 ,201459 
Jun.24,2호선,233,대림(구로구청),575195 ,584422 ,137018 ,140921 
Jun.24,2호선,234,신도림,1243793 ,1235459 ,236673 ,222261 
Jun.24,2호선,235,문래,534599 ,558664 ,90527 ,90065 
Jun.24,2호선,236,영등포구청,505696 ,523914 ,103593 ,102511 
Jun.24,2호선,237,당산,443501 ,517898 ,59848 ,65538 
Jun.24,2호선,238,합정,879304 ,962157 ,71736 ,73043 
Jun.24,2호선,239,홍대입구,2029079 ,2213946 ,102205 ,99941 
Jun.24,2호선,240,신촌,984486 ,1009038 ,124983 ,122753 
Jun.24,2호선,241,이대,423851 ,463878 ,50992 ,54396 
Jun.24,2호선,242,아현,252310 ,228262 ,66469 ,65155 
Jun.24,2호선,243,충정로(경기대입구),233804 ,246637 ,46611 ,46958 
Jun.24,2호선,244,용답,68687 ,67406 ,18115 ,17897 
Jun.24,2호선,245,신답,36457 ,40142 ,9900 ,10231 
Jun.24,2호선,246,신설동,78297 ,69132 ,33456 ,33721 
Jun.24,2호선,247,도림천,27532 ,28443 ,9095 ,10099 
Jun.24,2호선,248,양천구청,140479 ,148124 ,53671 ,54593 
Jun.24,2호선,249,신정네거리,215153 ,220178 ,76260 ,77858 
Jun.24,2호선,250,용두(동대문구청),48118 ,48073 ,23958 ,25032 
Jun.24,3호선,309,지축,177933 ,175955 ,38002 ,36813 
Jun.24,3호선,310,구파발,492199 ,481731 ,135600 ,130789 
Jun.24,3호선,311,연신내,732100 ,689180 ,261562 ,250682 
Jun.24,3호선,312,불광,338626 ,359164 ,144432 ,161372 
Jun.24,3호선,313,녹번,354759 ,314547 ,81232 ,79713 
Jun.24,3호선,314,홍제,378377 ,350269 ,147821 ,144433 
Jun.24,3호선,315,무악재,92345 ,87483 ,33882 ,36003 
Jun.24,3호선,316,독립문,154791 ,162103 ,75126 ,75958 
Jun.24,3호선,317,경복궁(정부서울청사),630259 ,646812 ,93181 ,90499 
Jun.24,3호선,318,안국,667188 ,699987 ,107653 ,112401 
Jun.24,3호선,319,종로3가,256493 ,298838 ,66253 ,74210 
Jun.24,3호선,320,을지로3가,273077 ,279011 ,47628 ,44570 
Jun.24,3호선,321,충무로,276 ,0 ,8 ,0 
Jun.24,3호선,322,동대입구,258419 ,287577 ,44971 ,47807 
Jun.24,3호선,323,약수,286544 ,283092 ,84028 ,79372 
Jun.24,3호선,324,금호,175799 ,160279 ,54055 ,52517 
Jun.24,3호선,325,옥수,198255 ,203913 ,62648 ,62671 
Jun.24,3호선,326,압구정,740040 ,800237 ,141019 ,139168 
Jun.24,3호선,327,신사,713722 ,753125 ,70624 ,68317 
Jun.24,3호선,328,잠원,114663 ,107969 ,33295 ,31712 
Jun.24,3호선,329,고속터미널,1291884 ,1223067 ,231924 ,215585 
Jun.24,3호선,330,교대(법원.검찰청),376399 ,220226 ,87864 ,49631 
Jun.24,3호선,331,남부터미널(예술의전당),718889 ,730852 ,127857 ,129031 
Jun.24,3호선,332,양재(서초구청),856829 ,946354 ,154033 ,156026 
Jun.24,3호선,333,매봉,267865 ,259679 ,74008 ,69183 
Jun.24,3호선,334,도곡,134495 ,134990 ,29763 ,28386 
Jun.24,3호선,335,대치,278020 ,269580 ,73010 ,70156 
Jun.24,3호선,336,학여울,52095 ,52742 ,19149 ,18092 
Jun.24,3호선,337,대청,238981 ,222040 ,64650 ,62774 
Jun.24,3호선,338,일원,230728 ,221753 ,69795 ,70066 
Jun.24,3호선,339,수서,416208 ,415988 ,124244 ,119917 
Jun.24,3호선,340,가락시장,178127 ,172346 ,81634 ,79742 
Jun.24,3호선,341,경찰병원,161931 ,159496 ,45613 ,46915 
Jun.24,3호선,342,오금,151210 ,134554 ,34392 ,32635 
Jun.24,4호선,409,당고개,202009 ,166371 ,79284 ,77300 
Jun.24,4호선,410,상계,426589 ,389153 ,130037 ,126428 
Jun.24,4호선,411,노원,675657 ,765274 ,164594 ,169382 
Jun.24,4호선,412,창동,541208 ,571401 ,228779 ,235480 
Jun.24,4호선,413,쌍문,658352 ,593828 ,182169 ,178565 
Jun.24,4호선,414,수유(강북구청),782467 ,777791 ,195626 ,195567 
Jun.24,4호선,415,미아(서울사이버대학),328259 ,308552 ,120705 ,121931 
Jun.24,4호선,416,미아사거리,583769 ,567360 ,190626 ,190711 
Jun.24,4호선,417,길음,492580 ,482446 ,127203 ,126403 
Jun.24,4호선,418,성신여대입구(돈암),554147 ,529207 ,92723 ,91107 
Jun.24,4호선,419,한성대입구(삼선교),339558 ,329021 ,76969 ,75073 
Jun.24,4호선,420,혜화,893280 ,918229 ,123916 ,121264 
Jun.24,4호선,421,동대문,420084 ,440367 ,159172 ,153507 
Jun.24,4호선,422,동대문역사문화공원(DDP),499102 ,437082 ,65660 ,58995 
Jun.24,4호선,423,충무로,726577 ,748720 ,116819 ,118017 
Jun.24,4호선,424,명동,922930 ,994968 ,77874 ,80222 
Jun.24,4호선,425,회현(남대문시장),564059 ,600674 ,218179 ,217831 
Jun.24,4호선,426,서울역,314883 ,586926 ,41980 ,57036 
Jun.24,4호선,427,숙대입구(갈월),379702 ,367119 ,57085 ,52374 
Jun.24,4호선,428,삼각지,159484 ,192231 ,25065 ,27211 
Jun.24,4호선,429,신용산,508351 ,550366 ,57589 ,58069 
Jun.24,4호선,430,이촌(국립중앙박물관),210535 ,232186 ,54295 ,56819 
Jun.24,4호선,431,동작(현충원),36515 ,39905 ,19012 ,18677 
Jun.24,4호선,432,총신대입구(이수),400130 ,434766 ,162548 ,169090 
Jun.24,4호선,433,사당,667105 ,592798 ,109009 ,114492 
Jun.24,4호선,434,남태령,33386 ,25502 ,9345 ,8372 
Jun.24,경부선,1001,서울역,289605 ,98841 ,18433 ,4464 
Jun.24,경부선,1002,남영,242345 ,253867 ,39189 ,40386 
Jun.24,경부선,1003,용산,1153738 ,1174769 ,145981 ,144402 
Jun.24,경부선,1004,노량진,210349 ,205704 ,43398 ,40442 
Jun.24,경부선,1005,대방,233759 ,260632 ,60162 ,62058 
Jun.24,경부선,1006,영등포,965086 ,991638 ,313931 ,314891 
Jun.24,경부선,1007,신도림,91104 ,93269 ,26857 ,32038 
Jun.24,경부선,1032,신길,204585 ,170137 ,49193 ,46635 
Jun.24,경부선,1701,구로,401625 ,416976 ,107524 ,104428 
Jun.24,경부선,1702,가산디지털단지,409975 ,472895 ,39038 ,43155 
Jun.24,경부선,1703,금천구청,239555 ,241098 ,85305 ,86583 
Jun.24,경부선,1704,석수,200196 ,181040 ,52828 ,51073 
Jun.24,경부선,1705,관악,159002 ,150905 ,59178 ,57484 
Jun.24,경부선,1706,안양,560485 ,549900 ,129451 ,133385 
Jun.24,경부선,1707,명학,203459 ,200167 ,45978 ,44672 
Jun.24,경부선,1708,금정,663310 ,669980 ,138681 ,139630 
Jun.24,경부선,1709,군포,155838 ,152893 ,39912 ,38947 
Jun.24,경부선,1710,의왕,214648 ,211685 ,46485 ,46233 
Jun.24,경부선,1711,성균관대,387903 ,381367 ,65957 ,66429 
Jun.24,경부선,1712,화서,315640 ,307486 ,53375 ,52019 
Jun.24,경부선,1713,수원,1036075 ,1091749 ,171413 ,173528 
Jun.24,경부선,1714,독산,395619 ,399721 ,70691 ,72026 
Jun.24,경부선,1715,세류,84689 ,79202 ,18153 ,17552 
Jun.24,경부선,1716,병점,392620 ,393157 ,76710 ,76121 
Jun.24,경부선,1717,세마,80718 ,75556 ,17364 ,16384 
Jun.24,경부선,1718,오산대,95872 ,89305 ,21641 ,20764 
Jun.24,경부선,1719,오산,269656 ,267875 ,54021 ,54846 
Jun.24,경부선,1720,진위,39709 ,35604 ,10596 ,10221 
Jun.24,경부선,1721,송탄,122643 ,119284 ,23095 ,22546 
Jun.24,경부선,1722,서정리,219449 ,208030 ,38854 ,38008 
Jun.24,경부선,1723,평택지제,119546 ,114349 ,14809 ,14233 
Jun.24,경부선,1724,평택,354514 ,352391 ,74836 ,73375 
Jun.24,경부선,1725,성환,132576 ,128583 ,22292 ,21861 
Jun.24,경부선,1726,직산,25368 ,25060 ,5929 ,5660 
Jun.24,경부선,1727,두정,209285 ,223403 ,30464 ,31112 
Jun.24,경부선,1728,천안,169987 ,156725 ,60190 ,59627 
Jun.24,경부선,1729,당정,149072 ,141188 ,34034 ,32459 
Jun.24,경부선,1749,서동탄,36346 ,31435 ,8278 ,7827 
Jun.24,경부선,1750,광명,104978 ,87585 ,12926 ,12538 
Jun.24,경인선,1801,개봉,453531 ,436411 ,170636 ,176830 
Jun.24,경인선,1802,오류동,243803 ,221589 ,96010 ,93454 
Jun.24,경인선,1803,역곡,601286 ,591145 ,163247 ,168583 
Jun.24,경인선,1804,부천,700514 ,696544 ,239121 ,242499 
Jun.24,경인선,1805,송내,613455 ,602671 ,140175 ,138706 
Jun.24,경인선,1806,부평,705936 ,753971 ,158328 ,162570 
Jun.24,경인선,1807,백운,154962 ,149012 ,65912 ,66071 
Jun.24,경인선,1808,동암,345070 ,344440 ,113916 ,114402 
Jun.24,경인선,1809,주안,454722 ,409182 ,102085 ,90433 
Jun.24,경인선,1810,제물포,240023 ,227843 ,72356 ,72038 
Jun.24,경인선,1811,동인천,291351 ,270329 ,128732 ,125575 
Jun.24,경인선,1812,인천,89225 ,69520 ,46524 ,42057 
Jun.24,경인선,1813,구일,211947 ,219062 ,51986 ,50876 
Jun.24,경인선,1814,소사,164015 ,154342 ,62802 ,61724 
Jun.24,경인선,1815,부개,179878 ,164370 ,74009 ,72206 
Jun.24,경인선,1816,간석,120499 ,112913 ,50638 ,48996 
Jun.24,경인선,1817,도원,68059 ,68171 ,32765 ,34187 
Jun.24,경인선,1821,온수(성공회대입구),136763 ,126939 ,54419 ,52553 
Jun.24,경인선,1822,중동,188041 ,171208 ,81231 ,79803 
Jun.24,경인선,1823,도화,81639 ,72949 ,43427 ,41914 
Jun.24,경원선,1008,이촌(국립중앙박물관),90136 ,66857 ,33548 ,28125 
Jun.24,경원선,1009,서빙고,50800 ,47632 ,20644 ,20061 
Jun.24,경원선,1010,한남,79067 ,78596 ,27152 ,25768 
Jun.24,경원선,1011,옥수,1646 ,1101 ,176 ,86 
Jun.24,경원선,1012,응봉,37929 ,31403 ,18595 ,16972 
Jun.24,경원선,1013,왕십리(성동구청),426460 ,423413 ,80872 ,82145 
Jun.24,경원선,1014,청량리(서울시립대입구),367286 ,381983 ,153801 ,164392 
Jun.24,경원선,1016,외대앞,235116 ,226760 ,47880 ,47464 
Jun.24,경원선,1017,신이문,174010 ,156864 ,71045 ,69362 
Jun.24,경원선,1018,석계,156870 ,179144 ,63182 ,67993 
Jun.24,경원선,1019,광운대,184682 ,174946 ,58929 ,57211 
Jun.24,경원선,1020,월계,144635 ,129149 ,65594 ,62609 
Jun.24,경원선,1021,녹천,90351 ,72890 ,39835 ,36510 
Jun.24,경원선,1022,창동,117 ,0 ,7 ,0 
Jun.24,경원선,1901,방학,178641 ,171965 ,115806 ,112730 
Jun.24,경원선,1902,도봉,98952 ,92334 ,75442 ,74162 
Jun.24,경원선,1903,도봉산,130742 ,73244 ,121993 ,96221 
Jun.24,경원선,1904,망월사,167688 ,168015 ,74483 ,75964 
Jun.24,경원선,1905,회룡,221093 ,215829 ,162154 ,159600 
Jun.24,경원선,1906,의정부,436675 ,449131 ,125240 ,126231 
Jun.24,경원선,1907,가능,129363 ,122745 ,61283 ,61359 
Jun.24,경원선,1908,녹양,86848 ,81759 ,40210 ,38362 
Jun.24,경원선,1909,양주,161441 ,152563 ,62369 ,59990 
Jun.24,경원선,1910,덕계,134421 ,121225 ,38759 ,37036 
Jun.24,경원선,1911,덕정,145922 ,137315 ,39593 ,39663 
Jun.24,경원선,1912,지행,150836 ,153127 ,50039 ,49952 
Jun.24,경원선,1913,동두천중앙,54302 ,51817 ,37899 ,37488 
Jun.24,경원선,1914,보산,35087 ,32920 ,15146 ,14677 
Jun.24,경원선,1915,동두천,43428 ,41498 ,19394 ,19569 
Jun.24,경원선,1916,소요산,14819 ,14625 ,51268 ,50124 
Jun.24,경원선,1917,청산,2537 ,2011 ,2194 ,1990 
Jun.24,경원선,1918,전곡,23207 ,21337 ,14994 ,13700 
Jun.24,경원선,1919,연천,14505 ,13769 ,26975 ,27796 
Jun.24,안산선,1751,산본,362456 ,388497 ,115114 ,116963 
Jun.24,안산선,1752,대야미,112769 ,99335 ,35746 ,33764 
Jun.24,안산선,1753,반월,94113 ,90467 ,34974 ,34885 
Jun.24,안산선,1754,상록수,368163 ,371459 ,78133 ,79272 
Jun.24,안산선,1755,한대앞,242136 ,241664 ,48809 ,50257 
Jun.24,안산선,1756,중앙,476318 ,500541 ,72392 ,71922 
Jun.24,안산선,1757,고잔,219355 ,209769 ,41955 ,40490 
Jun.24,안산선,1758,초지,125892 ,126534 ,21090 ,21360 
Jun.24,안산선,1759,안산,327776 ,307172 ,41591 ,39380 
Jun.24,안산선,1760,신길온천,49932 ,45230 ,11415 ,11206 
Jun.24,안산선,1761,정왕,254493 ,256811 ,33589 ,34932 
Jun.24,안산선,1762,오이도,203495 ,200779 ,41269 ,40804 
Jun.24,안산선,1763,수리산,84815 ,68027 ,34555 ,32399 
Jun.24,과천선,1450,선바위,179878 ,154187 ,38575 ,37041 
Jun.24,과천선,1451,경마공원,103602 ,104742 ,86157 ,86166 
Jun.24,과천선,1452,대공원,105183 ,109274 ,50410 ,51892 
Jun.24,과천선,1453,과천,140577 ,126675 ,52064 ,49224 
Jun.24,과천선,1454,정부과천청사,265867 ,276098 ,64652 ,63828 
Jun.24,과천선,1455,인덕원,583901 ,595976 ,135278 ,139907 
Jun.24,과천선,1456,평촌,406549 ,392095 ,71664 ,70935 
Jun.24,과천선,1457,범계,656145 ,655037 ,129475 ,127010 
Jun.24,분당선,1023,선릉,287765 ,451647 ,47277 ,64146 
Jun.24,분당선,1024,한티,371983 ,391459 ,75508 ,77088 
Jun.24,분당선,1025,도곡,160700 ,159258 ,57457 ,54890 
Jun.24,분당선,1026,구룡,75566 ,73393 ,28978 ,29220 
Jun.24,분당선,1027,개포동,97603 ,98657 ,33864 ,34274 
Jun.24,분당선,1028,대모산입구,129596 ,120353 ,39588 ,38904 
Jun.24,분당선,1030,수서,395339 ,414063 ,78403 ,82506 
Jun.24,분당선,1031,복정,170 ,0 ,6 ,0 
Jun.24,분당선,1846,수원,207856 ,189917 ,36754 ,34206 
Jun.24,분당선,1847,서울숲,343587 ,352537 ,38621 ,37638 
Jun.24,분당선,1848,압구정로데오,499954 ,564401 ,48815 ,46458 
Jun.24,분당선,1849,강남구청,217591 ,256517 ,40359 ,44074 
Jun.24,분당선,1850,선정릉,163082 ,172485 ,34120 ,33600 
Jun.24,분당선,1851,가천대,242652 ,249011 ,29521 ,29995 
Jun.24,분당선,1852,태평,285778 ,262629 ,96988 ,100618 
Jun.24,분당선,1853,모란,416639 ,413062 ,181993 ,199750 
Jun.24,분당선,1854,야탑,551704 ,588165 ,171319 ,171890 
Jun.24,분당선,1855,서현,549021 ,565675 ,134225 ,130341 
Jun.24,분당선,1856,수내,301025 ,303757 ,81473 ,80361 
Jun.24,분당선,1857,정자,421822 ,441146 ,73453 ,73173 
Jun.24,분당선,1858,미금,315918 ,328330 ,113193 ,119626 
Jun.24,분당선,1859,오리,246611 ,208752 ,77814 ,68577 
Jun.24,분당선,1860,이매,125055 ,116706 ,42822 ,42417 
Jun.24,분당선,1861,보정,54175 ,46934 ,21952 ,20600 
Jun.24,분당선,1862,죽전,315037 ,347428 ,75456 ,80559 
Jun.24,분당선,1863,구성,107514 ,114479 ,41048 ,41124 
Jun.24,분당선,1864,신갈,100144 ,97465 ,32428 ,32313 
Jun.24,분당선,1865,기흥,251580 ,231345 ,47912 ,47108 
Jun.24,분당선,1866,상갈,121357 ,116625 ,34402 ,33775 
Jun.24,분당선,1867,청명,108581 ,103975 ,23657 ,23680 
Jun.24,분당선,1868,영통,228470 ,230834 ,36297 ,35975 
Jun.24,분당선,1869,망포,384779 ,365286 ,45980 ,44196 
Jun.24,분당선,1870,매탄권선,132917 ,128022 ,26073 ,25576 
Jun.24,분당선,1871,수원시청,350030 ,382152 ,51860 ,53342 
Jun.24,분당선,1872,매교,121571 ,119725 ,28158 ,28441 
Jun.24,일산선,1948,원흥,258823 ,244255 ,70061 ,67214 
Jun.24,일산선,1949,지축,61 ,0 ,0 ,0 
Jun.24,일산선,1950,삼송,447786 ,425837 ,101034 ,101787 
Jun.24,일산선,1951,원당,232869 ,216216 ,87855 ,87351 
Jun.24,일산선,1952,화정,367482 ,377016 ,127802 ,130234 
Jun.24,일산선,1953,대곡,73696 ,54226 ,15984 ,13937 
Jun.24,일산선,1954,백석,208439 ,212303 ,79553 ,78574 
Jun.24,일산선,1955,마두,149904 ,152747 ,72868 ,74207 
Jun.24,일산선,1956,정발산,160102 ,168178 ,61562 ,59058 
Jun.24,일산선,1957,주엽,183484 ,183126 ,98765 ,101656 
Jun.24,일산선,1958,대화,301142 ,228666 ,89697 ,82270 
Jun.24,중앙선,1015,회기,648725 ,611886 ,126795 ,123754 
Jun.24,중앙선,1201,중랑,110007 ,104005 ,52020 ,51233 
Jun.24,중앙선,1202,상봉,132923 ,130325 ,46226 ,44975 
Jun.24,중앙선,1203,망우,152275 ,144395 ,75808 ,76108 
Jun.24,중앙선,1204,양원,65941 ,63638 ,23525 ,23564 
Jun.24,중앙선,1205,구리,287847 ,294037 ,90381 ,90878 
Jun.24,중앙선,1206,도농,244393 ,223722 ,71769 ,69338 
Jun.24,중앙선,1207,양정,10002 ,8101 ,7959 ,7073 
Jun.24,중앙선,1208,덕소,111738 ,109894 ,48451 ,48252 
Jun.24,중앙선,1209,도심,47852 ,36686 ,21040 ,19059 
Jun.24,중앙선,1210,팔당,19247 ,20162 ,10608 ,10401 
Jun.24,중앙선,1211,운길산,14171 ,13456 ,13226 ,13444 
Jun.24,중앙선,1212,양수,37731 ,37004 ,27420 ,27283 
Jun.24,중앙선,1213,신원,2981 ,2575 ,3543 ,3260 
Jun.24,중앙선,1214,국수,12440 ,11699 ,9832 ,9946 
Jun.24,중앙선,1215,아신,10655 ,10809 ,7135 ,6984 
Jun.24,중앙선,1216,오빈,4984 ,4832 ,4860 ,5019 
Jun.24,중앙선,1217,양평,64360 ,65490 ,37300 ,38361 
Jun.24,중앙선,1218,원덕,4839 ,4651 ,6889 ,6686 
Jun.24,중앙선,1219,용문,33375 ,33488 ,41628 ,41155 
Jun.24,중앙선,1220,지평,1019 ,1186 ,1185 ,1469 
Jun.24,장항선,1401,봉명,27995 ,28103 ,11226 ,10780 
Jun.24,장항선,1402,쌍용(나사렛대),67623 ,64485 ,17263 ,16307 
Jun.24,장항선,1403,아산,114146 ,100184 ,14933 ,14008 
Jun.24,장항선,1404,탕정,45964 ,41570 ,7069 ,6465 
Jun.24,장항선,1405,배방,32282 ,31644 ,7849 ,7798 
Jun.24,장항선,1407,온양온천,90241 ,91498 ,57926 ,58662 
Jun.24,장항선,1408,신창(순천향대),49838 ,49437 ,7681 ,6986 
Jun.24,경의선,1252,신촌,22948 ,28572 ,3749 ,4537 
Jun.24,경의선,1261,효창공원앞,74258 ,82863 ,17098 ,19102 
Jun.24,경의선,1263,서강대,56703 ,56367 ,12242 ,11315 
Jun.24,경의선,1265,가좌,125934 ,116507 ,46026 ,46410 
Jun.24,경의선,1267,수색,76615 ,77684 ,19744 ,19636 
