기업 이름,이동 링크,총 만족도,평균 임금
(주)신시웨이,/companies/70041/info/%EC%8B%A0%EC%8B%9C%EC%9B%A8%EC%9D%B4?,3.6,"3,988"
(주)에이아이트릭스,/companies/355944/info/%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4%ED%8A%B8%EB%A6%AD%EC%8A%A4?,3.6,"6,147"
(주)드제이,/companies/382596/info/%EB%93%9C%EC%A0%9C%EC%9D%B4?,3.6,"5,031"
(주)스트라드비젼,/companies/338506/info/%EC%8A%A4%ED%8A%B8%EB%9D%BC%EB%93%9C%EB%B9%84%EC%A0%BC?,3.6,"6,116"
(주)에스피아이티,/companies/333138/info/%EC%97%90%EC%8A%A4%ED%94%BC%EC%95%84%EC%9D%B4%ED%8B%B0?,3.6,"3,344"
(주)에이치알맨파워그룹,/companies/90052/info/%EC%97%90%EC%9D%B4%EC%B9%98%EC%95%8C%EB%A7%A8%ED%8C%8C%EC%9B%8C%EA%B7%B8%EB%A3%B9?,3.6,"2,960"
(주)제이시스,/companies/392120/info/%EC%A0%9C%EC%9D%B4%EC%8B%9C%EC%8A%A4?,3.8,"6,073"
라쿠텐,/companies/91385/info/%EB%9D%BC%EC%BF%A0%ED%85%90?,3.6,"6,017"
(주)사이버텔브릿지,/companies/98205/info/%EC%82%AC%EC%9D%B4%EB%B2%84%ED%85%94%EB%B8%8C%EB%A6%BF%EC%A7%80?,3.6,"3,675"
(주)엑스퍼넷,/companies/64540/info/%EC%97%91%EC%8A%A4%ED%8D%BC%EB%84%B7?,3.6,"4,009"
(주)엔씨소프트,/companies/64418/info/%EC%97%94%EC%94%A8%EC%86%8C%ED%94%84%ED%8A%B8?,3.6,"6,188"
핀다,/companies/312220/info/%ED%95%80%EB%8B%A4?,3.6,"5,621"
(주)브라이센코리아,/companies/347375/info/%EB%B8%8C%EB%9D%BC%EC%9D%B4%EC%84%BC%EC%BD%94%EB%A6%AC%EC%95%84?,3.6,"4,220"
(주)이브이알스튜디오,/companies/333081/info/%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%95%8C%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4?,3.6,"4,272"
(주)클라우다이크,/companies/312118/info/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%8B%A4%EC%9D%B4%ED%81%AC?,3.6,"3,610"
(주)플라이셔,/companies/325045/info/%ED%94%8C%EB%9D%BC%EC%9D%B4%EC%85%94?,3.6,"4,820"
(주)한국해양기상기술,/companies/48522/info/%ED%95%9C%EA%B5%AD%ED%95%B4%EC%96%91%EA%B8%B0%EC%83%81%EA%B8%B0%EC%88%A0?,3.6,"4,255"
에스케이(주),/companies/20613/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4?,3.6,"6,354"
카테노이드(주),/companies/7988/info/%EC%B9%B4%ED%85%8C%EB%85%B8%EC%9D%B4%EB%93%9C?,3.6,"4,745"
하늘연소프트(주),/companies/49157/info/%ED%95%98%EB%8A%98%EC%97%B0%EC%86%8C%ED%94%84%ED%8A%B8?,3.6,"4,765"
(주)레티널,/companies/345142/info/%EB%A0%88%ED%8B%B0%EB%84%90?,3.6,"5,472"
(주)미스터멘션,/companies/328634/info/%EB%AF%B8%EC%8A%A4%ED%84%B0%EB%A9%98%EC%85%98?,3.6,"3,585"
(주)아키스케치,/companies/335928/info/%EC%95%84%ED%82%A4%EC%8A%A4%EC%BC%80%EC%B9%98?,3.6,"3,603"
(주)에스엔에이,/companies/259281/info/%EC%97%90%EC%8A%A4%EC%97%94%EC%97%90%EC%9D%B4?,3.6,"3,944"
(주)파이브센스,/companies/339746/info/%ED%8C%8C%EC%9D%B4%EB%B8%8C%EC%84%BC%EC%8A%A4?,3.6,"2,877"
삼성에스디에스(주),/companies/30162/info/%EC%82%BC%EC%84%B1%EC%97%90%EC%8A%A4%EB%94%94%EC%97%90%EC%8A%A4?,3.6,"6,802"
제노솔루션(주),/companies/11755/info/%EC%A0%9C%EB%85%B8%EC%86%94%EB%A3%A8%EC%85%98?,3.6,"3,175"
(주)바잇미,/companies/354210/info/%EB%B0%94%EC%9E%87%EB%AF%B8?,3.5,"4,057"
(주)스마일게이트알피지,/companies/130835/info/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8%EC%95%8C%ED%94%BC%EC%A7%80?,3.5,"5,299"
(주)온다,/companies/329779/info/%EC%98%A8%EB%8B%A4?,3.5,"4,465"
(주)지오스토리,/companies/55220/info/%EC%A7%80%EC%98%A4%EC%8A%A4%ED%86%A0%EB%A6%AC?,3.5,"3,516"
(주)카이아이컴퍼니,/companies/354834/info/%EC%B9%B4%EC%9D%B4%EC%95%84%EC%9D%B4%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.5,"3,938"
(주)플그림,/companies/295575/info/%ED%94%8C%EA%B7%B8%EB%A6%BC?,3.5,"4,305"
비드코칭연구소(주),/companies/319813/info/%EB%B9%84%EB%93%9C%EC%BD%94%EC%B9%AD%EC%97%B0%EA%B5%AC%EC%86%8C?,3.5,"3,174"
(주)디앤디기술,/companies/151628/info/%EB%94%94%EC%95%A4%EB%94%94%EA%B8%B0%EC%88%A0?,3.5,"2,911"
(주)로드와이즈,/companies/78817/info/%EB%A1%9C%EB%93%9C%EC%99%80%EC%9D%B4%EC%A6%88?,3.5,"4,435"
(주)브레이브모바일,/companies/323579/info/%EB%B8%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%EB%AA%A8%EB%B0%94%EC%9D%BC?,3.5,"4,600"
(주)오케이몰,/companies/93303/info/%EC%98%A4%EC%BC%80%EC%9D%B4%EB%AA%B0?,3.5,"4,826"
(주)쿡앱스,/companies/205979/info/%EC%BF%A1%EC%95%B1%EC%8A%A4?,3.5,"4,947"
지니언스(주),/companies/325768/info/%EC%A7%80%EB%8B%88%EC%96%B8%EC%8A%A4?,3.5,"5,304"
(주)벨아이앤에스,/companies/93055/info/%EB%B2%A8%EC%95%84%EC%9D%B4%EC%95%A4%EC%97%90%EC%8A%A4?,3.5,"4,445"
(주)알고리마,/companies/366341/info/%EC%95%8C%EA%B3%A0%EB%A6%AC%EB%A7%88?,3.5,"4,274"
(주)팔라,/companies/392542/info/%ED%8C%94%EB%9D%BC?,3.5,"6,897"
오직(주),/companies/17582/info/%EC%98%A4%EC%A7%81?,3.5,"3,573"
지티플러스(주),/companies/9695/info/%EC%A7%80%ED%8B%B0%ED%94%8C%EB%9F%AC%EC%8A%A4?,3.5,"3,772"
코나모빌리티(주),/companies/92845/info/%EC%BD%94%EB%82%98%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?,3.5,"4,922"
(주)씨커스,/companies/307904/info/%EC%94%A8%EC%BB%A4%EC%8A%A4?,3.5,"3,026"
(주)큐빅테크,/companies/52421/info/%ED%81%90%EB%B9%85%ED%85%8C%ED%81%AC?,3.5,"4,658"
넥슨지티(주),/companies/89174/info/%EB%84%A5%EC%8A%A8%EC%A7%80%ED%8B%B0?,3.5,"5,362"
에스케이플래닛(주),/companies/20564/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%8C%EB%9E%98%EB%8B%9B?,3.5,"6,361"
현대오토에버(주),/companies/1306/info/%ED%98%84%EB%8C%80%EC%98%A4%ED%86%A0%EC%97%90%EB%B2%84?,3.5,"6,082"
(주)구루미,/companies/342069/info/%EA%B5%AC%EB%A3%A8%EB%AF%B8?,3.5,"4,218"
(주)라피치,/companies/300320/info/%EB%9D%BC%ED%94%BC%EC%B9%98?,3.5,"3,932"
(주)알에스인터렉티브,/companies/66998/info/%EC%95%8C%EC%97%90%EC%8A%A4%EC%9D%B8%ED%84%B0%EB%A0%89%ED%8B%B0%EB%B8%8C?,3.5,"3,937"
(주)코아아이티,/companies/153349/info/%EC%BD%94%EC%95%84%EC%95%84%EC%9D%B4%ED%8B%B0?,3.5,"3,287"
도프텍(주),/companies/38270/info/%EB%8F%84%ED%94%84%ED%85%8D?,3.5,"4,905"
번개장터(주),/companies/89394/info/%EB%B2%88%EA%B0%9C%EC%9E%A5%ED%84%B0?,3.5,"4,844"
세윤씨앤에스(주),/companies/71861/info/%EC%84%B8%EC%9C%A4%EC%94%A8%EC%95%A4%EC%97%90%EC%8A%A4?,3.5,"4,474"
시스템게이트(주),/companies/25043/info/%EC%8B%9C%EC%8A%A4%ED%85%9C%EA%B2%8C%EC%9D%B4%ED%8A%B8?,3.5,"3,619"
오드엠(주),/companies/62659/info/%EC%98%A4%EB%93%9C%EC%97%A0?,3.5,"4,032"
(주)크래프톤,/companies/74946/info/%ED%81%AC%EB%9E%98%ED%94%84%ED%86%A4?,3.5,"5,864"
메디컬아이피(주),/companies/368777/info/%EB%A9%94%EB%94%94%EC%BB%AC%EC%95%84%EC%9D%B4%ED%94%BC?,3.5,"4,687"
(주)씽크포비엘,/companies/68642/info/%EC%94%BD%ED%81%AC%ED%8F%AC%EB%B9%84%EC%97%98?,3.5,"3,648"
(주)악어디지털,/companies/346766/info/%EC%95%85%EC%96%B4%EB%94%94%EC%A7%80%ED%84%B8?,3.5,"4,520"
(주)안랩,/companies/67099/info/%EC%95%88%EB%9E%A9?,3.5,"4,998"
(주)오파스넷,/companies/92376/info/%EC%98%A4%ED%8C%8C%EC%8A%A4%EB%84%B7?,3.5,"4,044"
데브시스터즈(주),/companies/90431/info/%EB%8D%B0%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0%EC%A6%88?,3.5,"5,318"
에스케이브로드밴드(주),/companies/20626/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4%EB%B8%8C%EB%A1%9C%EB%93%9C%EB%B0%B4%EB%93%9C?,3.5,"5,938"
(주)넵튠,/companies/83490/info/%EB%84%B5%ED%8A%A0?,3.5,"5,046"
(주)이수시스템,/companies/13984/info/%EC%9D%B4%EC%88%98%EC%8B%9C%EC%8A%A4%ED%85%9C?,3.5,"6,121"
(주)한성아이티엘,/companies/48292/info/%ED%95%9C%EC%84%B1%EC%95%84%EC%9D%B4%ED%8B%B0%EC%97%98?,3.5,"4,482"
네이버 라인 플레이,/companies/87746/info/%EB%84%A4%EC%9D%B4%EB%B2%84-%EB%9D%BC%EC%9D%B8-%ED%94%8C%EB%A0%88%EC%9D%B4?,3.5,"5,154"
브이씨엔씨(주),/companies/87575/info/%EB%B8%8C%EC%9D%B4%EC%94%A8%EC%97%94%EC%94%A8?,3.5,"4,897"
엔에이치엔(주),/companies/88463/info/%EC%97%94%EC%97%90%EC%9D%B4%EC%B9%98%EC%97%94?,3.5,"5,590"
왓챠,/companies/87452/info/%EC%99%93%EC%B1%A0?,3.5,"4,683"
(주)다우데이타,/companies/82789/info/%EB%8B%A4%EC%9A%B0%EB%8D%B0%EC%9D%B4%ED%83%80?,3.5,"5,087"
(주)에이전트소프트,/companies/65080/info/%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8%EC%86%8C%ED%94%84%ED%8A%B8?,3.5,"5,085"
(주)에이티웍스,/companies/376945/info/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%9B%8D%EC%8A%A4?,3.5,"3,082"
(주)엔라이즈,/companies/64490/info/%EC%97%94%EB%9D%BC%EC%9D%B4%EC%A6%88?,3.5,"4,359"
(주)케이티샛,/companies/53182/info/%EC%BC%80%EC%9D%B4%ED%8B%B0%EC%83%9B?,3.5,"6,550"
가비아(주),/companies/86149/info/%EA%B0%80%EB%B9%84%EC%95%84?,3.5,"5,006"
(주)오픈놀,/companies/92714/info/%EC%98%A4%ED%94%88%EB%86%80?,3.5,"3,401"
(주)윌로그,/companies/384755/info/%EC%9C%8C%EB%A1%9C%EA%B7%B8?,3.5,"8,156"
(주)커머스웨어,/companies/87369/info/%EC%BB%A4%EB%A8%B8%EC%8A%A4%EC%9B%A8%EC%96%B4?,3.5,"4,262"
(주)클루닉스,/companies/52211/info/%ED%81%B4%EB%A3%A8%EB%8B%89%EC%8A%A4?,3.5,"3,297"
비스텔(주),/companies/74848/info/%EB%B9%84%EC%8A%A4%ED%85%94?,3.5,"4,206"
엘에스산전(주),/companies/19566/info/%EC%97%98%EC%97%90%EC%8A%A4%EC%82%B0%EC%A0%84?,3.5,"6,044"
이에이트(주),/companies/330324/info/%EC%9D%B4%EC%97%90%EC%9D%B4%ED%8A%B8?,3.5,"4,193"
톰슨로이터코리아(주),/companies/5737/info/%ED%86%B0%EC%8A%A8%EB%A1%9C%EC%9D%B4%ED%84%B0%EC%BD%94%EB%A6%AC%EC%95%84?,3.5,"6,602"
(주)님블뉴런,/companies/17614/info/%EB%8B%98%EB%B8%94%EB%89%B4%EB%9F%B0?,3.4,"3,932"
(주)브이엠에스솔루션스,/companies/75065/info/%EB%B8%8C%EC%9D%B4%EC%97%A0%EC%97%90%EC%8A%A4%EC%86%94%EB%A3%A8%EC%85%98%EC%8A%A4?,3.4,"5,181"
(주)아이아라,/companies/321936/info/%EC%95%84%EC%9D%B4%EC%95%84%EB%9D%BC?,3.4,"3,094"
(주)연합뉴스,/companies/87230/info/%EC%97%B0%ED%95%A9%EB%89%B4%EC%8A%A4?,3.4,"6,124"
(주)연합인포맥스,/companies/63133/info/%EC%97%B0%ED%95%A9%EC%9D%B8%ED%8F%AC%EB%A7%A5%EC%8A%A4?,3.4,"5,165"
매그넘빈트(주),/companies/77891/info/%EB%A7%A4%EA%B7%B8%EB%84%98%EB%B9%88%ED%8A%B8?,3.4,"3,943"
(유)프리디소프트,/companies/328375/info/%ED%94%84%EB%A6%AC%EB%94%94%EC%86%8C%ED%94%84%ED%8A%B8?,3.4,"4,368"
(주)데이터메이커,/companies/371446/info/%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%A9%94%EC%9D%B4%EC%BB%A4?,3.4,"3,799"
(주)위버케어,/companies/350240/info/%EC%9C%84%EB%B2%84%EC%BC%80%EC%96%B4?,3.4,"5,100"
(주)이노룰스,/companies/59333/info/%EC%9D%B4%EB%85%B8%EB%A3%B0%EC%8A%A4?,3.4,"3,966"
(주)큐피스트,/companies/326711/info/%ED%81%90%ED%94%BC%EC%8A%A4%ED%8A%B8?,3.4,"4,698"
워터월시스템즈(주),/companies/16081/info/%EC%9B%8C%ED%84%B0%EC%9B%94%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%A6%88?,3.4,"4,149"
잡플래닛,/companies/86783/info/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B?,3.4,"4,405"
카본코드테크놀로지,/companies/88812/info/%EC%B9%B4%EB%B3%B8%EC%BD%94%EB%93%9C%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80?,3.4,"6,439"
(주)블록오디세이,/companies/334425/info/%EB%B8%94%EB%A1%9D%EC%98%A4%EB%94%94%EC%84%B8%EC%9D%B4?,3.4,"3,918"
(주)아이앤텍,/companies/67903/info/%EC%95%84%EC%9D%B4%EC%95%A4%ED%85%8D?,3.4,"3,274"
(주)엘앤케이플래넷,/companies/375073/info/%EC%97%98%EC%95%A4%EC%BC%80%EC%9D%B4%ED%94%8C%EB%9E%98%EB%84%B7?,3.4,"3,245"
(주)인스테리어,/companies/341752/info/%EC%9D%B8%EC%8A%A4%ED%85%8C%EB%A6%AC%EC%96%B4?,3.4,"4,844"
가비아씨엔에스,/companies/89678/info/%EA%B0%80%EB%B9%84%EC%95%84%EC%94%A8%EC%97%94%EC%97%90%EC%8A%A4?,3.4,"4,213"
솔루젠(주),/companies/91341/info/%EC%86%94%EB%A3%A8%EC%A0%A0?,3.4,"3,733"
케이스마텍(주),/companies/53626/info/%EC%BC%80%EC%9D%B4%EC%8A%A4%EB%A7%88%ED%85%8D?,3.4,"4,684"
콩테크(주),/companies/334976/info/%EC%BD%A9%ED%85%8C%ED%81%AC?,3.4,"5,411"
(주)퀘스처너스,/companies/352001/info/%ED%80%98%EC%8A%A4%EC%B2%98%EB%84%88%EC%8A%A4?,3.4,"4,341"
(주)핏펫,/companies/349160/info/%ED%95%8F%ED%8E%AB?,3.4,"5,063"
(주)핑거랩스,/companies/47782/info/%ED%95%91%EA%B1%B0%EB%9E%A9%EC%8A%A4?,3.4,"4,209"
한국정보통신(주),/companies/3128/info/%ED%95%9C%EA%B5%AD%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0?,3.4,"5,512"
한국통합민원센터(주),/companies/325829/info/%ED%95%9C%EA%B5%AD%ED%86%B5%ED%95%A9%EB%AF%BC%EC%9B%90%EC%84%BC%ED%84%B0?,3.4,"4,219"
(주)겟차,/companies/323556/info/%EA%B2%9F%EC%B0%A8?,3.4,"4,433"
(주)넷티어시스템즈,/companies/83451/info/%EB%84%B7%ED%8B%B0%EC%96%B4%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%A6%88?,3.4,"3,712"
(주)다우기술,/companies/82790/info/%EB%8B%A4%EC%9A%B0%EA%B8%B0%EC%88%A0?,3.4,"5,275"
(주)서로커뮤니케이션,/companies/328151/info/%EC%84%9C%EB%A1%9C%EC%BB%A4%EB%AE%A4%EB%8B%88%EC%BC%80%EC%9D%B4%EC%85%98?,3.4,"3,391"
(주)오피지지,/companies/321744/info/%EC%98%A4%ED%94%BC%EC%A7%80%EC%A7%80?,3.4,"4,215"
(주)잉카엔트웍스,/companies/57392/info/%EC%9E%89%EC%B9%B4%EC%97%94%ED%8A%B8%EC%9B%8D%EC%8A%A4?,3.4,"4,728"
(주)클래스팅,/companies/93345/info/%ED%81%B4%EB%9E%98%EC%8A%A4%ED%8C%85?,3.4,"5,096"
(주)그립컴퍼니,/companies/383925/info/%EA%B7%B8%EB%A6%BD%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.4,"5,080"
(주)매스프레소,/companies/317622/info/%EB%A7%A4%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C?,3.4,"5,137"
(주)지냄,/companies/319324/info/%EC%A7%80%EB%83%84?,3.4,"3,868"
(주)카카오스타일,/companies/6881/info/%EC%B9%B4%EC%B9%B4%EC%98%A4%EC%8A%A4%ED%83%80%EC%9D%BC?,3.4,"5,347"
(주)태성에스엔이,/companies/51839/info/%ED%83%9C%EC%84%B1%EC%97%90%EC%8A%A4%EC%97%94%EC%9D%B4?,3.4,"5,180"
(주)헤렌,/companies/329722/info/%ED%97%A4%EB%A0%8C?,3.4,"4,028"
나이스지니데이타(주),/companies/315575/info/%EB%82%98%EC%9D%B4%EC%8A%A4%EC%A7%80%EB%8B%88%EB%8D%B0%EC%9D%B4%ED%83%80?,3.4,"4,458"
네무스텍(주),/companies/42281/info/%EB%84%A4%EB%AC%B4%EC%8A%A4%ED%85%8D?,3.4,"4,625"
(주)모젯,/companies/77104/info/%EB%AA%A8%EC%A0%AF?,3.4,"4,136"
(주)서울소프트,/companies/349288/info/%EC%84%9C%EC%9A%B8%EC%86%8C%ED%94%84%ED%8A%B8?,3.4,"3,555"
(주)스마일게이트엔터테인먼트,/companies/70951/info/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8?,3.4,"5,496"
(주)스펙트라,/companies/155226/info/%EC%8A%A4%ED%8E%99%ED%8A%B8%EB%9D%BC?,3.4,"5,515"
델인터내셔널(주),/companies/38433/info/%EB%8D%B8%EC%9D%B8%ED%84%B0%EB%82%B4%EC%85%94%EB%84%90?,3.4,"6,288"
키위플(주),/companies/88863/info/%ED%82%A4%EC%9C%84%ED%94%8C?,3.4,"4,596"
한국지능정보사회진흥원,/companies/89015/info/%ED%95%9C%EA%B5%AD%EC%A7%80%EB%8A%A5%EC%A0%95%EB%B3%B4%EC%82%AC%ED%9A%8C%EC%A7%84%ED%9D%A5%EC%9B%90?,3.4,"4,427"
(주)네오위즈,/companies/83745/info/%EB%84%A4%EC%98%A4%EC%9C%84%EC%A6%88?,3.4,"4,992"
(주)트렌디스,/companies/349887/info/%ED%8A%B8%EB%A0%8C%EB%94%94%EC%8A%A4?,3.4,"2,784"
눔코리아(주),/companies/89218/info/%EB%88%94%EC%BD%94%EB%A6%AC%EC%95%84?,3.4,"3,761"
엔카닷컴(주),/companies/309392/info/%EC%97%94%EC%B9%B4%EB%8B%B7%EC%BB%B4?,3.4,"4,715"
한전케이디엔(주),/companies/2065/info/%ED%95%9C%EC%A0%84%EC%BC%80%EC%9D%B4%EB%94%94%EC%97%94?,3.4,"4,188"
(주)아이리스닷넷,/companies/68133/info/%EC%95%84%EC%9D%B4%EB%A6%AC%EC%8A%A4%EB%8B%B7%EB%84%B7?,3.4,"3,139"
(주)에프에스엔,/companies/49807/info/%EC%97%90%ED%94%84%EC%97%90%EC%8A%A4%EC%97%94?,3.4,"4,744"
(주)지란지교소프트,/companies/55593/info/%EC%A7%80%EB%9E%80%EC%A7%80%EA%B5%90%EC%86%8C%ED%94%84%ED%8A%B8?,3.4,"4,351"
(주)화창코리아,/companies/390659/info/%ED%99%94%EC%B0%BD%EC%BD%94%EB%A6%AC%EC%95%84?,3.4,0
엔도어즈(주),/companies/64504/info/%EC%97%94%EB%8F%84%EC%96%B4%EC%A6%88?,3.4,"4,923"
차봇모빌리티(주),/companies/367834/info/%EC%B0%A8%EB%B4%87%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?,3.4,"4,986"
카페24(주),/companies/23717/info/%EC%B9%B4%ED%8E%9824?,3.4,"4,867"
(주)슬로그업,/companies/339323/info/%EC%8A%AC%EB%A1%9C%EA%B7%B8%EC%97%85?,3.4,"3,858"
(주)이호스트아이씨티,/companies/297582/info/%EC%9D%B4%ED%98%B8%EC%8A%A4%ED%8A%B8%EC%95%84%EC%9D%B4%EC%94%A8%ED%8B%B0?,3.4,"3,303"
(주)한국신용데이터,/companies/322151/info/%ED%95%9C%EA%B5%AD%EC%8B%A0%EC%9A%A9%EB%8D%B0%EC%9D%B4%ED%84%B0?,3.4,"5,707"
(주)닷밀,/companies/92545/info/%EB%8B%B7%EB%B0%80?,3.3,"3,597"
(주)바비톡,/companies/319633/info/%EB%B0%94%EB%B9%84%ED%86%A1?,3.3,"4,495"
(주)아롬정보기술,/companies/68540/info/%EC%95%84%EB%A1%AC%EC%A0%95%EB%B3%B4%EA%B8%B0%EC%88%A0?,3.3,"3,575"
(주)오토핸즈,/companies/320805/info/%EC%98%A4%ED%86%A0%ED%95%B8%EC%A6%88?,3.3,"3,906"
(주)케이티넥스알,/companies/53190/info/%EC%BC%80%EC%9D%B4%ED%8B%B0%EB%84%A5%EC%8A%A4%EC%95%8C?,3.3,"5,076"
(주)코즈웍스,/companies/322361/info/%EC%BD%94%EC%A6%88%EC%9B%8D%EC%8A%A4?,3.3,"3,499"
(주)휴먼스케이프,/companies/345251/info/%ED%9C%B4%EB%A8%BC%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84?,3.3,"5,167"
나이스평가정보(주),/companies/42722/info/%EB%82%98%EC%9D%B4%EC%8A%A4%ED%8F%89%EA%B0%80%EC%A0%95%EB%B3%B4?,3.3,"7,730"
스포카(주),/companies/70599/info/%EC%8A%A4%ED%8F%AC%EC%B9%B4?,3.3,"3,597"
(주)글래스돔코리아,/companies/382852/info/%EA%B8%80%EB%9E%98%EC%8A%A4%EB%8F%94%EC%BD%94%EB%A6%AC%EC%95%84?,3.3,"5,265"
(주)넥스모어시스템즈,/companies/83580/info/%EB%84%A5%EC%8A%A4%EB%AA%A8%EC%96%B4%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%A6%88?,3.3,"3,864"
(주)모트에이아이,/companies/326544/info/%EB%AA%A8%ED%8A%B8%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4?,3.3,"4,682"
(주)소셜미디어센터,/companies/313076/info/%EC%86%8C%EC%85%9C%EB%AF%B8%EB%94%94%EC%96%B4%EC%84%BC%ED%84%B0?,3.3,"3,443"
(주)에어스메디컬,/companies/390265/info/%EC%97%90%EC%96%B4%EC%8A%A4%EB%A9%94%EB%94%94%EC%BB%AC?,3.3,"3,984"
(주)휴먼컨설팅그룹,/companies/46997/info/%ED%9C%B4%EB%A8%BC%EC%BB%A8%EC%84%A4%ED%8C%85%EA%B7%B8%EB%A3%B9?,3.3,"4,351"
