"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"대구광역시",2444412,1212777,1231635,2409132,1192938,1216194,968265,957516,597,10152,792998,151964,567543,9563,53216,10712,19797,2429940,1203754,1226186,2389848,1181573,1208275,979852,968620,559,10673,800340,147565,579777,9438,52880,10680,20910,2410700,1190271,1220429,2373302,1170625,1202677,997416,985816,512,11088,809802,142457,595392,9093,52492,10368,22788,2387911,1177420,1210491,2350955,1158350,1192605,1013488,1000931,617,11940,815588,138801,605787,9068,51842,10090,24201,2366852,1165698,1201154,2328003,1145462,1182541,1024104,1010834,610,12660,834637,137208,627191,8915,51403,9920,26044
"중구",76935,37209,39726,76089,36779,39310,34431,34109,40,282,26597,7477,16254,754,1204,908,2709,75561,36413,39148,74662,35964,38698,34523,34207,41,275,25874,6695,16541,628,1153,857,3101,74278,35692,38586,73499,35341,38158,35114,34805,37,272,25584,6362,16880,356,1152,834,3350,72834,34835,37999,72112,34526,37586,35001,34680,39,282,26095,5991,17799,356,1137,812,3529,77512,37059,40453,76745,36723,40022,37635,37289,36,310,29367,5889,21206,356,1114,802,3842
"동구",342396,168812,173584,340032,167969,172063,139492,138759,80,653,121847,24672,79974,2314,13065,1822,3373,337439,165927,171512,334898,165031,169867,139879,139168,80,631,120976,23536,80399,2308,12955,1778,3491,333294,163476,169818,331000,162756,168244,142473,141788,71,614,123199,22612,83630,2313,12960,1684,3814,332637,162891,169746,330408,162181,168227,145800,145080,82,638,126648,22177,87644,2310,12888,1629,3973,332954,162916,170038,330580,162140,168440,148484,147698,82,704,128977,21772,90614,2262,12756,1573,4557
"서구",183857,92304,91553,180774,90628,90146,77152,76111,56,985,54338,23178,18247,739,10994,1180,1151,175243,87869,87374,171891,86010,85881,75067,73980,48,1039,53200,22373,17970,760,10916,1181,1146,170437,84983,85454,167380,83390,83990,75132,74097,45,990,51379,20821,17950,747,10768,1093,1162,165455,82384,83071,162512,80882,81630,75035,73944,59,1032,51093,20589,17947,733,10744,1080,1176,160754,79872,80882,157798,78301,79497,74277,73196,56,1025,51762,20403,18816,733,10737,1073,1165
"남구",150132,72097,78035,148553,71475,77078,68808,68263,62,483,42387,20284,14998,574,5644,887,1040,147500,70522,76978,145655,69762,75893,68768,68268,56,444,41984,19544,15322,562,5661,895,1033,145588,69569,76019,143788,68869,74919,69654,69120,54,480,42607,19036,16495,552,5660,864,1122,144898,69140,75758,142958,68352,74606,71165,70508,68,589,41905,17872,17090,553,5570,820,1212,142675,67983,74692,140652,67155,73497,71361,70698,61,602,43029,17711,18453,553,5502,810,1294
"북구",444759,222248,222511,438525,219022,219503,173151,171041,91,2019,141295,20461,110867,1855,6245,1867,3511,446050,222873,223177,439084,219367,219717,176876,174696,84,2096,143485,20070,113473,1851,6239,1852,3644,446466,222464,224002,440171,219461,220710,181778,179584,69,2125,147686,19686,118066,1875,6233,1826,4079,444446,221221,223225,438182,218301,219881,186104,183714,102,2288,148438,19476,119156,1796,6219,1791,4357,439303,218472,220831,432605,215309,217296,188354,185834,108,2412,151840,19087,123063,1760,6195,1735,4240
"수성구",418834,204032,214802,416581,203033,213548,157323,156596,49,678,134191,21535,102927,1315,7268,1146,2478,415283,202137,213146,412809,201042,211767,158648,157906,44,698,136216,21415,105136,1305,7196,1164,2632,412912,200040,212872,410742,199194,211548,160984,160239,38,707,136996,20359,107205,1274,7035,1123,2961,408085,197716,210369,405938,196873,209065,163032,162210,47,775,137832,19761,108760,1368,6860,1083,3297,402458,194837,207621,400315,193991,206324,164059,163237,53,769,139502,19514,110700,1367,6839,1082,4072
"달서구",576746,287606,289140,565569,280727,284842,223693,220531,130,3032,181128,21202,149833,1359,6758,1976,3036,574390,285722,288668,561077,277785,283292,228034,224644,127,3263,183594,20945,152599,1359,6708,1983,3164,566712,280919,285793,553689,273497,280192,230703,226813,121,3769,184756,20593,154258,1311,6634,1960,3561,554702,274424,280278,541730,267202,274528,231944,227587,135,4222,183025,20042,153429,1290,6361,1903,3774,545073,269226,275847,531562,261686,269876,232480,227834,132,4514,187027,19968,157755,1222,6197,1885,3764
"달성군",250753,128469,122284,243009,123305,119704,94215,92106,89,2020,91215,13155,74443,653,2038,926,2499,258474,132291,126183,249772,126612,123160,98057,95751,79,2227,95011,12987,78337,665,2052,970,2699,261013,133128,127885,253033,128117,124916,101578,99370,77,2131,97595,12988,80908,665,2050,984,2739,264854,134809,130045,257115,130033,127082,105407,103208,85,2114,100552,12893,83962,662,2063,972,2883,266123,135333,130790,257746,130157,127589,107454,105048,82,2324,103133,12864,86584,662,2063,960,3110
